incline barbell bench press,,chest,barbell
flat barbell bench press,,chest,barbell
decline barbell bench press,,chest,barbell
guillotine (neck) press,,chest,barbell
close grip bench press,,chest,barbell
incline dumbbell bench press,,chest,dumbbell
flat dumbbell bench press,,chest,dumbbell
decline dumbbell bench press,,chest,dumbbell
dumbbell pullover,,chest,dumbbell
dumbbell chest fly,,chest,dumbbell
dumbbell floor press,,chest,dumbbell
cable chest fly,,chest,cable/machine
cable chest press,,chest,cable/machine
single-arm cable crossover,,chest,cable/machine
incline machine bench press,,chest,cable/machine
flat machine bench press,,chest,cable/machine
pec deck,,chest,cable/machine
dip machine,,chest,cable/machine
standard deadlift,,back,barbell
sumo deadlift,,back,barbell
romanian deadlift,,back,barbell
bent over rows,,back,barbell
pendley rows,,back,barbell
t-bar rows,,back,barbell
barbell shrugs,,back,barbell
barbell chest supported rows,,back,barbell
dumbbell romanian deadlifts,,back,dumbbell
single-arm rows,,back,dumbbell
dumbbell shrugs,,back,dumbbell
dumbbell chest supported rows,,back,dumbbell
lat pulldowns,,back,cable/machine
seated rows,,back,cable/machine
standing push down,,back,cable/machine
hyperextensions,,back,cable/machine
chin ups / pullups,,back,cable/machine
barbell back squats,,legs,barbell
barbell front squats,,legs,barbell
barbell lunges,,legs,barbell
barbell bulgarian split squat,,legs,barbell
barbell step ups,,legs,barbell
good mornings,,legs,barbell
romanian deadlifts,,legs,barbell
barbell hip thrusts,,legs,barbell
standing calf raises,,legs,barbell
dumbbell squat,,legs,dumbbell
goblet squat,,legs,dumbbell
dumbbell lunges,,legs,dumbbell
dumbbell bulgarian split squat,,legs,dumbbell
dumbbell step ups,,legs,dumbbell
dumbbell romanian deadlifts,,legs,dumbbell
dumbbell hip thrusts,,legs,dumbbell
dumbbell glute bridges,,legs,dumbbell
dumbbell standing calf raises,,legs,dumbbell
hack squat machine,,legs,cable/machine
leg press,,legs,cable/machine
leg extension,,legs,cable/machine
leg curl,,legs,cable/machine
seated calf raise,,legs,cable/machine
standing barbell shoulder press,,shoulders,barbell
seated barbell shoulder press,,shoulders,barbell
push press,,shoulders,barbell
standing dumbbell shoulder press,,shoulders,dumbbell
seated dumbbell shoulder press,,shoulders,dumbbell
arnold press,,shoulders,dumbbell
cuban press,,shoulders,dumbbell
single arm dumbbell press,,shoulders,dumbbell
dumbbell lateral raises,,shoulders,dumbbell
dumbbell front raises,,shoulders,dumbbell
dumbbell reverse flys,,shoulders,dumbbell
machine shoulder press,,shoulders,cable/machine
machine lat raise,,shoulders,cable/machine
cable lat raise,,shoulders,cable/machine
cable front raise,,shoulders,cable/machine
cable reverse fly,,shoulders,cable/machine
cable face pulls,,shoulders,cable/machine
barbell bicep curl,,bicep,barbell
e-z bar bicep curl,,bicep,barbell
barbell preacher curl,,bicep,barbell
concentration curl,,bicep,dumbbell
dumbbell bicep curl,,bicep,dumbbell
hammer curl,,bicep,dumbbell
incline bench dumbbell curl,,bicep,dumbbell
cable bicep curl,,bicep,cable/machine
bicep machine curl,,bicep,cable/machine
close-grip bench press,,tricep,barbell
skull crusher,,tricep,barbell
tricep kickbacks,,tricep,dumbbell
standing overhead extension,,tricep,dumbbell
seated overhead extension,,tricep,dumbbell
machine tricep extension,,tricep,cable/machine
cable tricep pulldown,,tricep,cable/machine
dip machine,,tricep,cable/machine
barbell ab rollouts,,abs,barbell
dumbbell side bends,,abs,dumbbell
cable crunches,,abs,cable/machine
ab crunch machine,,abs,cable/machine
leg raises,,abs,bodyweight
knee raises,,abs,bodyweight
ab crunches,,abs,bodyweight
russian twist,,abs,bodyweight
plank hold,,abs,bodyweight